Sample	CD45Neg	CD45Pos
F16	88	12
F17	85.5	14.5
F21	72.8	27.2
F22	89	11
F23	88.2	11.8
F29	73.2	26.8
F30	83.1	16.9
F32	87.9	12.1
F33	87.6	12.4
F34	88.9	11.1
F35	94.3	5.7
F38	87.9	12.1
F41	86.7	13.3
F45	78.6	21.4
F45_slow_spin	83.1	16.9
