CellTypes,Colours
HSC,#FFFF33
pro B cell early,#4DAF4A
MEP,#FF7F00
Monocyte-DC progenitor,#E41A1C
Neut-myeloid progenitor,#377EB8
pDC progenitor,#984EA3
